,adult,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count
6828,False,0,Documentary,fr,1.094,,"Japan, France, Belgium",2011-01-01,0,,Chernobyl 4 Ever,0.0,0
6829,False,0,,en,0.6,,,2007-01-01,0,5,Wall,0.0,0
6830,False,0,Animation,ja,1.4,,Japan,1972-01-01,0,16,The Tree of Courage,0.0,0
6831,False,0,Drama,en,0.842,Caribbeing,Trinidad and Tobago,2006-09-14,0,72,SistaGod,0.0,0
6832,False,0,,en,0.6,,,2006-01-01,0,60,A.k.a. Nikki S. Lee,0.0,0
6833,False,0,Animation,ja,1.34,,Japan,1973-01-01,0,17,Praise be to Small Ills,0.0,0
6834,False,0,Animation,en,0.6,Sacrebleu Productions,France,2014-01-01,0,7,Man on the Chair,0.0,0
6835,False,0,,en,0.6,,,2010-01-01,0,35,Where Is the Black Beast,0.0,0
6836,False,0,Animation,ja,1.4,,Japan,1977-01-01,0,18,Towards the Rainbow,0.0,0
6837,False,0,Animation,ja,1.4,,Japan,1968-01-01,0,4,Ojiichan ga Kaizoku Datta Koro,0.0,0
6838,False,0,,en,0.6,,,2009-01-01,0,92,White Days,0.0,0
6839,False,0,Documentary,fr,0.6,,,2009-09-28,0,,Le Zapping - 20 ans (1989 - 1993),0.0,0
6840,False,0,,en,0.6,,,2012-01-01,0,10,Wasteland,0.0,0
6841,False,0,,en,0.6,,,1987-01-01,0,64,Hitlers Sonderauftrag Linz,0.0,0
6842,False,0,Animation,bg,0.6,Boyana Film,Bulgaria,1986-01-01,0,,A Crushed World,0.0,0
6843,False,0,Documentary,sv,0.84,"Athenafilm, Det Danske Filminstitut, Film i Skåne, Norsk Filminstitutt, Svenska Filminstitutet, Nordisk Film & TV Fond, SVT, Yellow Cottage, Danmarks Radio (DR), Stiftelsen Grännamuseerna","Norway, Sweden",1997-10-03,0,61,Their Frozen Dream,6.5,2
6844,False,0,Animation,ja,1.4,,Japan,1975-01-01,0,2,Onaka no Ookina Ouji-sama,0.0,0
6845,False,0,,en,0.6,,,1965-01-01,0,22,Kleine Front,0.0,0
6846,False,0,Comedy,da,1.381,TV 2,Denmark,2015-09-01,0,,Anders Grau: Bekymringsfabler,7.0,1
6847,False,0,,en,0.6,,,1966-01-01,0,10,Henker Tom,0.0,0
6848,False,0,Animation,ja,1.34,,Japan,1979-01-01,0,22,The Soba Flower of Mt. Oni,0.0,0
6849,False,0,,en,0.676,,,1966-01-01,0,10,Strategen,0.0,0
6850,False,0,Animation,ja,1.09,,Japan,1971-01-01,0,3,Osamishi Tani no Wakare Uta,0.0,0
6851,False,0,Comedy,de,0.654,"Albatros Filmproduktion, Planet-Film Berlin, Trio Film",Germany,1981-07-09,0,76,Wie die Weltmeister,0.0,0
6852,False,0,Documentary,fr,0.844,,,2009-10-11,0,,Le Zapping - 20 ans (1994 - 1998),0.0,0
6853,False,0,,en,0.6,,,2007-01-27,0,,The March of the Nameless,6.0,1
6854,False,0,Animation,ja,0.84,,Japan,1980-01-01,0,4,Be Quiet Please!,0.0,0
6855,False,0,Crime,de,0.6,"Artus-Film, Popular Filmproduktion, Sita-Film",Germany,1983-07-22,0,80,The Small,0.0,0
6856,False,0,Animation,ja,1.4,,Japan,1978-01-01,0,21,Panache the Squirrel,0.0,0
6857,False,0,,en,0.805,,,1995-01-01,0,83,Das Flittchen und der Totengräber,0.0,0
6858,False,0,Animation,ja,1.34,,Japan,1983-01-01,0,2,A Donkey Got a Bit Sulky,0.0,0
6859,False,0,Animation,ja,1.09,,Japan,1976-01-01,0,2,Sakura Yori Ai wo Nosete,0.0,0
6860,False,0,,en,0.628,,,2005-01-01,0,72,3 Minuten Heroes,0.0,0
6861,False,0,Documentary,fr,0.844,,,2009-11-15,0,,Le Zapping - 20 ans (1999 - 2003),0.0,0
6862,False,0,,en,0.6,,,2005-01-01,0,83,"Träum weiter, Julia!",0.0,0
6863,False,0,Animation,ja,0.6,,Japan,1981-01-01,0,22,White Elephant,0.0,0
6864,False,0,,en,0.6,,,2007-01-01,0,70,Undercover Ibiza,0.0,0
6865,False,0,Documentary,fr,0.6,,,2009-12-27,0,,Le Zapping - 20 ans (2004 - 2008),0.0,0
6866,False,0,,ja,1.4,,Japan,1976-01-01,0,2,Symphonic Variations,0.0,0
6867,False,0,,en,0.6,,,1911-04-13,0,14,Slim Jim's Last Chance,0.0,0
